URL,Harga,Lokasi,Kamar Tidur,Kamar Mandi,Luas Tanah,Luas Bangunan,Sertifikat,Daya Listrik,Jumlah Lantai,Kondisi Properti,Lainnya,Carport,Kamar Tidur Pembantu,Kamar Mandi Pembantu,Garasi,IMB
https://www.rumah123.com/properti/tangerang/hos18893709/,"Rp 1,1 Miliar","BSD, Tangerang",3.0,3.0,60 m²,80 m²,SHM,3300 Watt,3.0,Bagus,Informasi tambahan tidak tersedia,,,,,
https://www.rumah123.com/properti/tangerang/hos18888370/,"Rp 1,1 Miliar","BSD City, Tangerang",2.0,2.0,64 m²,65 m²,SHM,2200 Watt,2.0,Bagus,Informasi tambahan tidak tersedia,,,,,
https://www.rumah123.com/properti/tangerang/hos19159869/,"Rp 4,85 Miliar","Gading Serpong, Tangerang",5.0,4.0,190 m²,250 m²,SHM,7700 Watt,2.0,Bagus,Informasi tambahan tidak tersedia,1.0,1.0,,,
https://www.rumah123.com/properti/tangerang/hos14935273/,"Rp 2,6 Miliar","Gading Serpong, Tangerang",4.0,3.0,84 m²,100 m²,SHM,4400 Watt,2.0,Sudah Renovasi,Informasi tambahan tidak tersedia,2.0,1.0,1.0,,
https://www.rumah123.com/properti/tangerang/hos17621352/,"Rp 1,6 Miliar","BSD, Tangerang",3.0,2.0,60 m²,73 m²,Lainnya,2200 Watt,2.0,Bagus,Informasi tambahan tidak tersedia,1.0,,,,
https://www.rumah123.com/properti/tangerang/hos18680238/,"Rp 7,9 Miliar","BSD, Tangerang",4.0,3.0,300 m²,260 m²,SHM,5500 Watt,2.0,Bagus,Informasi tambahan tidak tersedia,1.0,1.0,1.0,1.0,
https://www.rumah123.com/properti/tangerang/hos18533940/,"Rp 6,95 Miliar","BSD Delatinos, Tangerang",4.0,4.0,256 m²,350 m²,SHM,5500 Watt,3.0,Baru,Informasi tambahan tidak tersedia,5.0,1.0,1.0,,
https://www.rumah123.com/properti/tangerang/hos19102279/,"Rp 2,49 Miliar","BSD, Tangerang",3.0,3.0,128 m²,110 m²,SHM,2200 Watt,2.0,Bagus,Informasi tambahan tidak tersedia,1.0,1.0,1.0,,
https://www.rumah123.com/properti/tangerang/hos19020160/,Rp 3 Miliar,"Gading Serpong, Tangerang",3.0,4.0,84 m²,144 m²,Lainnya,3500 Watt,3.0,Baru,Informasi tambahan tidak tersedia,1.0,,,,
https://www.rumah123.com/properti/tangerang/hos19019648/,"Rp 12,5 Miliar","Alam Sutera, Tangerang",5.0,5.0,331 m²,520 m²,Lainnya,5500 Watt,3.0,Baru,Informasi tambahan tidak tersedia,1.0,1.0,1.0,1.0,
https://www.rumah123.com/properti/tangerang/hos19140291/,"Rp 1,3 Miliar","Gading Serpong, Tangerang",3.0,2.0,90 m²,85 m²,SHM,Lainnya,2.0,Bagus,Informasi tambahan tidak tersedia,1.0,,,1.0,
https://www.rumah123.com/properti/tangerang/hos16645236/,Rp 940 Juta,"Lippo Karawaci, Tangerang",3.0,1.0,150 m²,77 m²,SHM,2200 Watt,1.0,Bagus,Informasi tambahan tidak tersedia,,,,,
https://www.rumah123.com/properti/tangerang/hos17788963/,"Rp 1,28 Miliar","BSD, Tangerang",3.0,2.0,64 m²,83 m²,HGB,2200 Watt,2.0,Bagus,Informasi tambahan tidak tersedia,,,,,
https://www.rumah123.com/properti/tangerang/hos18271684/,"Rp 2,33 Miliar","BSD City, Tangerang",2.0,2.0,105 m²,69 m²,Lainnya,2200 Watt,2.0,Bagus,Informasi tambahan tidak tersedia,,,,,
https://www.rumah123.com/properti/tangerang/hos16833349/,"Rp 1,22 Miliar","Lippo Karawaci, Tangerang",3.0,3.0,90 m²,150 m²,SHM,3500 Watt,2.0,Bagus,Informasi tambahan tidak tersedia,,,,,
https://www.rumah123.com/properti/tangerang/hos18642174/,"Rp 1,38 Miliar","BSD, Tangerang",3.0,3.0,90 m²,68 m²,SHM,2200 Watt,2.0,Bagus,Informasi tambahan tidak tersedia,,1.0,,,
https://www.rumah123.com/properti/tangerang/hos18530791/,"Rp 1,26 Miliar","BSD City, Tangerang",2.0,2.0,105 m²,70 m²,SHM,2200 Watt,1.0,Bagus,Informasi tambahan tidak tersedia,,,,,
https://www.rumah123.com/properti/tangerang/hos17304765/,"Rp 1,5 Miliar","Lippo Karawaci, Tangerang",3.0,1.0,112 m²,112 m²,SHM,2200 Watt,2.0,Bagus,Informasi tambahan tidak tersedia,,,,,
